rule_id,rule_name,regulatory_basis,threshold_or_citation,merge_decision,verification_note
A01/A02,Quantity deviation / mismatch,MEPC.1/Circ.891 — MFM Guidelines,0.5% tolerance per Circ.891 para 4.2. Singapore SS 648:2019.,accepted_as_reference,Use as hackathon reference; confirm exact clause before production/legal use.
A03,Density deviation,ISO 8217:2024 Table 2,±2 kg/m³ per delivery tolerance. MARPOL Annex VI fuel quality.,accepted_as_reference,Use as hackathon reference; confirm exact clause before production/legal use.
A04,Flow rate anomaly,MEPC.1/Circ.891 para 5.3,Zero flow > 120 sec = meter event requiring documentation.,accepted_as_reference,Use as hackathon reference; confirm exact clause before production/legal use.
A05,Reverse flow,MEPC.1/Circ.891 Annex III,Flow direction reversal = CRITICAL. Requires immediate meter stop.,accepted_as_reference,Use as hackathon reference; confirm exact clause before production/legal use.
A06,Meter fault,Singapore SS 648:2019 Clause 7,Status code ≥ 2 = meter alarm. Delivery suspended pending calibration check.,accepted_as_reference,Use as hackathon reference; confirm exact clause before production/legal use.
A07,Meter health,OIML R 117-1 (2007),Drive gain >80% = meter stress. Tube frequency deviation >2% = possible contamination.,accepted_as_reference,Use as hackathon reference; confirm exact clause before production/legal use.
A08,Sulphur non-compliance,MARPOL Annex VI Reg. 14,0.50% global (outside ECA). 0.10% inside SECA/ECA. MEPC.308(73).,accepted_as_reference,Use as hackathon reference; confirm exact clause before production/legal use.
A09,Flash point violation,SOLAS Reg. II-2/4.2.1,Minimum 60°C flash point (closed cup) for all marine fuels. Absolute.,accepted_as_reference,Use as hackathon reference; confirm exact clause before production/legal use.
A10,Grade mismatch,ISO 8217:2024 / Charter Party,BDN product grade must match Bunker Requisition Form (BRF) specification.,accepted_as_reference,Use as hackathon reference; confirm exact clause before production/legal use.
A11/A12,Vessel name/IMO mismatch,IMO FAL Convention,BDN must match vessel AIS name and IMO. SOLAS V/19 (AIS mandatory).,accepted_as_reference,Use as hackathon reference; confirm exact clause before production/legal use.
A13,Location mismatch,MPA VTIS Port Limits,Vessel must be in declared anchorage. MPA Port Marine Circular No.13/2025.,accepted_as_reference,Use as hackathon reference; confirm exact clause before production/legal use.
A14,Barge proximity,MEPC.1/Circ.891 para 5.1,Barge and vessel must be alongside (< 100m). >500m = delivery not credible.,accepted_as_reference,Use as hackathon reference; confirm exact clause before production/legal use.
A15,Supplier unlicensed,MPA Bunkering Act (Cap.170A),All bunker suppliers in Port of Singapore must hold valid MPA BSL licence. Criminal offence if unlicensed.,accepted_as_reference,Use as hackathon reference; confirm exact clause before production/legal use.
A16,Missing signature,MARPOL Annex VI Reg. 18(9),BDN must be signed by both supplier representative and receiving officer.,accepted_as_reference,Use as hackathon reference; confirm exact clause before production/legal use.
A19,Invoice quantity mismatch,UNCITRAL Model Law,Invoice quantity vs BDN ≠ indicates billing fraud. Also SS 524 para 6.3.,accepted_as_reference,Use as hackathon reference; confirm exact clause before production/legal use.
A21,Sample seal mismatch,MARPOL Annex VI Reg. 18(8.2),MARPOL fuel sample seal must match BDN sample reference. Traceability requirement.,accepted_as_reference,Use as hackathon reference; confirm exact clause before production/legal use.
